"","cluster","gene","avg_log2FC","p_val","pct.1","pct.2","p_val_adj"
"115","5","Gm17092",6.02,0,0.482,0.146,0
"116","5","Gm10432",6,0,0.23,0.147,0.19
"117","5","B230369F24Rik",5.99,0,0.299,0.174,0
"118","5","Zfp536",5.98,0,0.1,0.263,0
"119","5","A830035O19Rik",5.86,0,0.298,0.224,0.28
"120","5","Gm4419",5.86,0,0.139,0.138,0
"121","6","Olfml3",11.79,0,0.838,0.044,0
"122","6","Prr16",10.67,0,0.262,0.08,0
"123","6","Mlana",10.2,0,0.584,0.048,0
"124","6","Penk",9.86,0,0.801,0.074,0
"125","6","Prcd",9.72,0,0.54,0.117,0
"126","6","Aebp1",9.69,0,0.834,0.327,0
"127","6","Shisa3",9.65,0,0.617,0.114,0
"128","6","Serpinh1",9.63,0,0.89,0.328,0
"129","6","Pdgfrl",9.62,0,0.638,0.116,0
"130","6","Lsamp",9.52,0,0.698,0.076,0
"131","6","Svep1",9.31,0,0.891,0.046,0
"132","6","Pdia3",9.27,0,0.853,0.344,0
"133","6","Gpnmb",9.22,0,0.738,0.057,0
"134","6","Gdf10",9.2,0,0.896,0.07,0
"135","6","Steap4",9.12,0,0.816,0.069,0
"136","6","Fndc5",8.84,0,0.381,0.095,0
"137","6","Lrp4",8.81,0,0.498,0.173,0
"138","6","Ppib",8.77,0,0.809,0.371,0
"139","6","Srpx",8.65,0,0.788,0.078,0
"140","6","8030423F21Rik",8.54,0,0.44,0.039,0
"141","7","Gm12002",13.55,0,0.84,0.038,0
"142","7","Car4",13.16,0,0.931,0.017,0
"143","7","Slc26a10",13.07,0,0.546,0.066,0
"144","7","Nepn",12.56,0,0.621,0.043,0
