"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"Dnajb1",-0.0638988302080037,10.1955095030922,-6.93653829389109,4.26678134546667e-12,4.74086816162964e-12,14.9832808605105
"Sema3d",-0.0824334934701785,10.3637987581316,-6.81540167550128,9.9416567217111e-12,1.10401518286631e-11,14.407519457402
"Rpl27a",-0.0574567182546311,12.2079386439625,-6.74729546173768,1.5896120853264e-11,1.76231938506253e-11,14.2971092331098
"Slc6a6",-0.0841090739735826,10.381505331985,-6.7652292056037,1.40542242317171e-11,1.55898216657983e-11,14.0884286410655
"Crip2",-0.102839083456063,10.9180292781596,-6.71911312494791,1.92782328182694e-11,2.13490950368432e-11,14.0581257286928
"Pcna",-0.0666381532640123,10.2568464646662,-6.77966127162608,1.27252896475125e-11,1.41235179217674e-11,14.0225359599712
"Rnd3",-0.0790927116487108,10.3226919578841,-6.7441741725281,1.62400013634264e-11,1.79944613445168e-11,13.8743055466135
"Creb5",-0.0895596161453245,10.4176626587131,-6.6876156919817,2.38947916119207e-11,2.64322916061069e-11,13.6063204853144
"Gng11",-0.0846393574297899,10.374295352101,-6.66011887988856,2.87976089999608e-11,3.18381525704376e-11,13.3775146680171
"Per3",-0.0565394209451036,10.1096659264782,-6.69021425702437,2.34761546128757e-11,2.59835690236588e-11,13.1362549837134
"Tra2a",-0.0875599593540954,10.421910442519,-6.61490679825649,3.90786330151564e-11,4.31808099614988e-11,13.1307324533272
"Cdc42ep3",0.101602510241163,11.0223373699779,6.53081316670115,6.85896641629567e-11,7.56642737594669e-11,12.8257421229456
"Rab11a",-0.0735016278272926,10.3517320783895,-6.57373464308195,5.15144146928927e-11,5.68905739292023e-11,12.7840010200082
"Cdh6",-0.0676564459565299,10.2116491660042,-6.56268162241236,5.54650997099193e-11,6.12197568542156e-11,12.5047228947569
"Gcnt2",-0.0595575956925654,10.1729568224775,-6.52770512156949,7.00215420708668e-11,7.72012591740538e-11,12.1996443873407
"Ryr2",-0.0698495587094428,10.1978462308881,-6.50814093760751,7.97298239551638e-11,8.78565553224945e-11,12.1269422654238
"Map1a",-0.0832335822389343,10.4217910149044,-6.41812901446359,1.44207876200687e-10,1.58731839516441e-10,11.8519008429948
"Cdo1",0.087838177885514,10.4124451577943,6.36012551822975,2.1039477269083e-10,2.31457395699483e-10,11.4843629201037
"Gxylt2",-0.0842037481416913,10.4205616824202,-6.34269870871669,2.35529759818229e-10,2.58823911888164e-10,11.3720680199001
"Tesc",-0.0447030827079686,10.065923649462,-6.41818936410689,1.44150968390429e-10,1.58731839516441e-10,11.2726028110101
"Adgre5",-0.0714530337288615,10.3315758693199,-6.30636648044118,2.97725560199936e-10,3.26991279736338e-10,11.0452399959114
"Abra",-0.0474833576406617,10.0954292223568,-6.35239157468276,2.21208329473226e-10,2.43219713549451e-10,10.9126991885312
"Slc25a36",-0.0648870021080921,10.2058318164387,-6.25753282247929,4.07128770259209e-10,4.46658003575654e-10,10.5458760322572
"A330023F24Rik",-0.0508935303518285,10.0787620859616,-6.29631147895202,3.17602105215033e-10,3.48630192332638e-10,10.5254982994059
"Synm",-0.0671689002989204,10.2637834385879,-6.17550469528912,6.85147470112034e-10,7.51258190912318e-10,10.1334983443378
"Rpsa",0.0527304973086569,12.1649191370648,6.05975639904333,1.41241245071458e-09,1.54615484478881e-09,9.91574225026653
"Adcy5",0.0954374309725008,10.8639842952267,6.06916263935109,1.3324157072127e-09,1.45938193561085e-09,9.89342627061329
"Gem",-0.0669303749586039,10.2985453189429,-6.09389032178592,1.14260300836336e-09,1.2521676803982e-09,9.68939653728484
"Fxyd1",0.0934413215843435,11.2037046474775,6.01102735496699,1.90786350601767e-09,2.08623674796902e-09,9.61172527317604
"S100a16",-0.0759812535558329,10.4689078823284,-6.03908145761666,1.60504988284777e-09,1.75607208189034e-09,9.54204936732782
"Fmo2",0.10109263239082,11.4405992882265,5.95224934037202,2.73362041663028e-09,2.98756329686369e-09,9.28098441931002
"Uchl1",0.0689678193249783,10.3289696052921,5.90993605011319,3.53411766422135e-09,3.86031421542474e-09,8.65481921676867
"Fubp1",-0.078798838329055,10.3669895585603,-5.86617137487561,4.60108791253063e-09,5.02028141028983e-09,8.42513473590021
"Fam3c",-0.0684632962288099,10.3602350433239,-5.86639166440832,4.59500305814653e-09,5.01637888443944e-09,8.4102741591648
"Ets2",-0.0631788237135549,10.2798751536317,-5.79438463274207,7.06425779453227e-09,7.70366171704719e-09,7.88925270655405
"Aebp1",-0.0927747036498197,11.4070413385686,-5.71116544206968,1.15405250140724e-08,1.25508700533686e-08,7.88049045473097
"Smoc1",0.0782576565514432,10.4710316602181,5.74696808126109,9.35137639952773e-09,1.0186684531076e-08,7.82921343722193
"Anxa1",-0.0879821349487404,10.8876499330915,-5.7132034764197,1.14035468577605e-08,1.24086472880963e-08,7.82319237042722
