"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Cntf",1.94701017258232e-17,-2.44647585482188,0.012,0.139,2.9162318364938e-13
"Trit1",6.35155202242183e-10,-2.44635241613724,0.213,0.281,9.51335461918342e-06
"Ebf2",7.35922868091512e-23,2.44433919650339,0.119,0.011,1.10226527182747e-18
"Zbtb7a",1.88009496617044e-21,-2.44391515110418,0.172,0.43,2.81600624033009e-17
"Agfg1",5.30810445165843e-09,2.44386663654925,0.27,0.239,7.95047884769399e-05
"Sept10",2.95520394113694e-09,-2.44311947209731,0.047,0.119,4.42630446303491e-05
"Zfp983",4.7360434096949e-208,2.44278241139056,0.539,0.065,7.09364581904102e-204
"4833413G10Rik",4.53141984790809e-28,2.44048556313406,0.274,0.118,6.78716064819673e-24
"Nr1h3",8.31015967541579e-08,-2.4402014544054,0.204,0.255,0.00124469571618378
"Gpsm2",2.69588021902645e-82,2.44000649293465,0.292,0.043,4.03788939205782e-78
"Ginm1",7.5912818633047e-09,2.43996193377055,0.136,0.131,0.000113702219748578
"Rbm4b",2.9677799685257e-06,-2.43960015088509,0.355,0.247,0.0444514083685779
"0610043K17Rik",2.45551837142643e-53,2.43922251723216,0.378,0.086,3.67787541672251e-49
"Gm49797",5.69143509251158e-70,2.43915547982535,0.529,0.177,8.52463148156385e-66
"Zfp597",3.90424950947272e-20,2.43911766301507,0.286,0.207,5.84778491528823e-16
"Gm42869",0.000422792261361281,2.43865742225443,0.149,0.298,1
"Gm15441",0.467731146482149,-2.43711042927722,0.055,0.129,1
"Pinx1",6.80342006380481e-10,2.43626041912988,0.088,0.209,1.01901625715668e-05
"Gm48898",1.09423652895519e-35,-2.43555891296409,0.014,0.148,1.63894747306909e-31
"Vps13a",0.00152369192755056,2.43485151540832,0.288,0.3,1
"Tle4",1.57304322566006e-74,-2.43284220561787,0.129,0.482,2.35610414339363e-70
"Gm9856",1.51161452055071e-80,2.43216283026693,0.451,0.145,2.26409622888086e-76
"Zfp608",0.0597418494028437,2.43135775214646,0.244,0.288,1
"Surf6",0.00087914475014107,2.4312802054702,0.166,0.192,1
"Zfp934",6.0031344431949e-16,2.43117668746688,0.314,0.465,8.99149476901733e-12
"Men1",0.428508378480642,2.43105681559968,0.22,0.223,1
"Suz12",0.235063959273595,2.43085337997018,0.163,0.235,1
"Abcc5",1.17422449604225e-26,2.43060637246367,0.425,0.223,1.75875345017209e-22
"0610040B10Rik",1.40485741858086e-08,-2.43001180837826,0.197,0.123,0.000210419544155041
"Cck",2.22631721617276e-84,2.42842569725909,0.25,0.045,3.33457792638356e-80
"Mrm1",0.00264340482497256,2.42840096220493,0.134,0.201,1
"Smad3",6.06659268300672e-24,2.42824182877783,0.411,0.211,9.08654252060747e-20
"Mettl3",0.00393211769770769,-2.42745111525051,0.203,0.147,1
"Mesd",1.82395313216257e-08,2.4272716040519,0.127,0.153,0.00027319170013531
"Fbxo10",2.53421697858883e-35,2.42682679124506,0.294,0.117,3.79575019053034e-31
"Ttc12",3.14523949164271e-59,-2.4265282536974,0.29,0.052,4.71093971058245e-55
"Zcchc4",0.00285302175522541,-2.42645092441655,0.291,0.26,1
"Cfap97",0.000672156948989849,2.42601826084213,0.153,0.164,1
"Isyna1",0.209676465013166,2.42599213230297,0.098,0.155,1
"Sh3bp4",2.33692532742206e-18,-2.42538365110438,0.14,0.051,3.50024675541276e-14
"Zfp821",4.01315506422171e-42,-2.42477416524449,0.273,0.066,6.01090365519127e-38
"Hist1h1c",6.99939182351248e-08,2.42473016256396,0.214,0.187,0.0010483689073257
"Prim1",3.67296609153045e-29,2.42440102090877,0.275,0.084,5.50136861189431e-25
"Eif6",6.03041339126293e-47,2.42437617112017,0.083,0.38,9.03235317743362e-43
"Cand1",4.69246848284065e-23,-2.42433834529785,0.154,0.297,7.02837929359872e-19
"Ovgp1",1.77511844398872e-50,2.42424155353897,0.357,0.107,2.6587724054063e-46
"Cdk5rap2",1.30540692447523e-14,2.4222204644454,0.179,0.088,1.95523849147901e-10
"Prss23os",7.15266824147118e-58,2.42204896714594,0.139,0.035,1.07132664920755e-53
"Tatdn3",3.19715730812297e-14,2.42108452929908,0.294,0.164,4.78870221610658e-10
"3110056K07Rik",0.00391466346130172,2.42108255800835,0.281,0.207,1
"Nisch",3.69095599198686e-22,2.42087662691602,0.415,0.299,5.52831388479792e-18
"Utp23",2.33058461475295e-09,2.41955123909524,0.107,0.183,3.49074963597697e-05
"Htatsf1",5.60616791729371e-07,2.41888224466437,0.232,0.258,0.00839691830652252
"Prpf4b",1.51739521265801e-45,2.41885787131685,0.49,0.255,2.27275454951917e-41
"Cnp",1.57038246538755e-116,-2.41873461652587,0.062,0.482,2.35211885665747e-112
"Fam114a2",3.66721597629911e-08,2.41763348525012,0.323,0.224,0.000549275608930081
"Ppp2r3c",6.52185118462002e-11,2.41735004817669,0.242,0.149,9.76842870432386e-07
"Glyctk",2.23392207386407e-216,2.41583503390155,0.499,0.03,3.3459684822336e-212
"Nlrc3",4.51004039523744e-24,-2.41558790861734,0.479,0.308,6.75513850398664e-20
"Rab9b",3.2185093991759e-41,2.4153948603691,0.201,0.065,4.82068337808566e-37
"Med1",1.97142325859924e-30,-2.41527975185774,0.233,0.487,2.95279775672994e-26
"Paf1",1.22215565513544e-06,2.41494516293355,0.196,0.234,0.0183054474026187
"Ikzf5",7.49288130057281e-16,2.41366903851109,0.315,0.201,1.1222837611998e-11
"Fam149b",1.71155332711638e-40,2.41341768517709,0.307,0.134,2.56356457335492e-36
"Nos1ap",3.60901323990225e-42,2.41328875870773,0.306,0.079,5.4055800307256e-38
"1500011B03Rik",4.14216176201893e-21,-2.41307893339427,0.083,0.248,6.20412988715195e-17
"Ccl25",2.22828953174168e-77,-2.41307614196504,0.497,0.128,3.33753206064269e-73
"Trim7",5.90628707992067e-66,-2.41300175706319,0.517,0.26,8.84643678830518e-62
"Sp110",8.01632115354224e-193,-2.41288952947425,0.077,0.597,1.20068458237756e-188
"Spcs1",0.0317900257427755,-2.4128022378396,0.153,0.257,1
"Specc1",1.34814925354063e-05,2.41243924145402,0.217,0.212,0.201925795195315
"Ormdl3",8.1961622689781e-08,2.41093057933627,0.173,0.125,0.00122762118464754
"Atpaf2",2.28039415836431e-11,2.40836727772879,0.21,0.111,3.41557437039807e-07
"Csde1",9.65513038857437e-15,2.40831420081651,0.35,0.275,1.44614542960067e-10
"Mfsd8",3.45087777103772e-39,2.40812206830681,0.391,0.142,5.1687247254603e-35
"Fam214b",0.192800071561459,2.40776491639186,0.252,0.233,1
"Abcd3",0.00132512016587983,-2.40731623826601,0.272,0.26,1
"Echs1",0.0227440931072692,2.40623174052191,0.161,0.215,1
"Zdhhc18",4.87563240177757e-21,2.40576752741402,0.275,0.165,7.30272221138244e-17
"Pgbd1",1.745120093386e-265,2.40546331879496,0.541,0.009,2.61384087587355e-261
"Il20rb",3.34661051818669e-08,-2.40532904424228,0.145,0.209,0.000501255323414002
"Ufsp2",0.0885526219989832,-2.40526661404936,0.197,0.3,1
"Naa25",2.60951241943793e-27,2.40470281648015,0.402,0.201,3.90852770183414e-23
"Ctsw",2.19010383942105e-12,-2.40452833630754,0.021,0.1,3.28033753068485e-08
"Tmem179b",8.36219340142569e-76,-2.40445997253034,0.13,0.465,1.25248932766554e-71
"Msh3",0.0499360727796648,2.40439894162175,0.314,0.306,1
"Cdh24",4.71592393753521e-118,-2.40396521799286,0.252,0.055,7.06351087364024e-114
"Zbed4",3.9261931772282e-10,-2.40354487822899,0.317,0.434,5.8806521408524e-06
"Msl3l2",0.00191293877032797,2.40348746429239,0.103,0.194,1
"Polr1b",3.02024064250413e-11,2.40344265763873,0.153,0.09,4.52371643434269e-07
"Gm11361",5.26017997457861e-23,-2.40302427802637,0.285,0.222,7.87869756592384e-19
"Plekhm1",3.90052169444007e-16,-2.40286473992919,0.349,0.308,5.84220139393234e-12
"Rpp21",3.53460534727624e-51,2.40263989497848,0.1,0.34,5.29413188915035e-47
"Lats1",2.1642584061043e-11,2.4025621908068,0.289,0.199,3.24162624066302e-07
"Lipe",3.76844408862785e-55,-2.40248856687918,0.08,0.385,5.6443755559468e-51
"Stk24",9.41828830042811e-12,-2.40142307518874,0.25,0.411,1.41067122163812e-07
"1300002E11Rik",0.00657456746826428,2.40028874252722,0.099,0.101,1
"Dctn3",6.81178036883807e-42,-2.40007070548983,0.115,0.433,1.02026846364457e-37
"Arpc5l",0.000630422432523301,-2.39933860251652,0.198,0.209,1
"Vasp",0.00173584290096573,-2.39867044697832,0.284,0.345,1
"D5Ertd579e",1.69569166681601e-24,-2.39850025147924,0.366,0.212,2.53980697855702e-20
"Selenos",4.69369314140542e-07,2.39823037413204,0.228,0.221,0.00703021358719704
"Atp5h",1.02888261554396e-22,-2.39662510227742,0.147,0.351,1.54106038156174e-18
"Prpsap2",3.98918938344201e-07,-2.39647963426092,0.409,0.322,0.00597500785851945
"Afg1l",0.98026968820582,-2.39634970182042,0.139,0.186,1
"Prkrip1",0.00422872794871872,-2.39550640478322,0.142,0.24,1
"Slc36a4",1.47975640505444e-28,2.39526571927078,0.378,0.161,2.21637914349055e-24
"Flvcr1",6.90833687800305e-08,-2.39348550970417,0.354,0.396,0.0010347306975873
"Gm28791",0.305501661641482,2.39347079289495,0.341,0.31,1
"Abcb8",1.32808242166579e-16,-2.39302995209515,0.305,0.156,1.98920185117102e-12
"Ptcd1",5.84305179761183e-05,2.39255376757796,0.104,0.195,0.8751722982463
"U2af1",2.03754806022913e-05,-2.39200533549538,0.144,0.302,0.305183948461119
"Fcho2",0.00179559159577497,2.39200159399202,0.316,0.477,1
"Cryzl2",7.78895528120555e-07,-2.39167088299881,0.18,0.172,0.0116662972201897
"Lyrm9",8.1154237113978e-05,2.39118364797925,0.118,0.161,1
"Atp5mpl",1.14066549779131e-44,-2.39073306568686,0.112,0.434,1.70848878259182e-40
"Armc1",1.71362884939495e-06,2.38976825893946,0.199,0.197,0.0256667329062376
"Gpn1",0.456645079616208,2.38860694648943,0.194,0.187,1
"Sec14l1",7.17388160958922e-111,-2.38802851975197,0.092,0.526,1.07450398748427e-106
"S1pr4",1.62032982417835e-29,-2.38794020072453,0.02,0.145,2.42693001065433e-25
"Gm9970",6.59236125368725e-14,-2.38791835114642,0.048,0.171,9.87403868577276e-10
"Samd4",4.41209186333441e-167,2.38646671047436,0.438,0.053,6.60843119290228e-163
"Rnf114",5.01622359045678e-55,2.38602162575817,0.074,0.389,7.51329969378616e-51
"Clns1a",2.83352178715747e-70,-2.38552072422049,0.062,0.318,4.24404893280446e-66
"Zfp646",3.01437970934689e-10,2.38543247101423,0.437,0.271,4.51493792865977e-06
"Frmd8",1.72272171960885e-24,-2.38537340253004,0.086,0.297,2.58029259163013e-20
"Srxn1",4.1790239338707e-44,-2.38507693606675,0.366,0.149,6.25934204815153e-40
"Sned1",6.03381485434307e-05,2.3848076237885,0.291,0.164,0.903744788883504
"March3",2.77884731131944e-43,-2.38425350106266,0.078,0.331,4.16215750289425e-39
"A430073D23Rik",1.79749228850083e-43,2.38376468150228,0.244,0.103,2.69228394971654e-39
"Fbxl4",0.0176163046987323,-2.38353673326747,0.319,0.219,1
"Pgpep1",1.66180276436135e-05,-2.38319439483098,0.102,0.183,0.248904818046043
"Lyplal1",0.0008610161265674,2.3828766232165,0.213,0.232,1
"Gm4890",7.44962199325258e-08,-2.38278090073811,0.111,0.117,0.00111580438214937
"Snta1",1.07005560977798e-13,2.38275892179537,0.201,0.154,1.60272929232545e-09
"Ipo11",0.00557883522323863,2.38266973069515,0.187,0.237,1
"Abhd2",6.71221789059063e-27,2.38263465212818,0.364,0.179,1.00535599565266e-22
"4831440D22Rik",4.20599189408511e-74,2.38189581748915,0.222,0.036,6.29973465896068e-70
"Rpp30",2.74575324165578e-06,2.38009079777859,0.114,0.199,0.0411258920535203
"Gm10053",0.00205292247490395,-2.38002114249177,0.052,0.162,1
"Nt5dc2",8.20434132854399e-77,-2.37994697221546,0.11,0.379,1.22884624418932e-72
"Gm43462",2.02341228337343e-84,2.37957563917635,0.472,0.164,3.03066691803672e-80
"Timm44",8.11401075503801e-51,2.37932906435663,0.488,0.194,1.21531653088959e-46
"Lins1",2.29848188546952e-160,2.3793198634547,0.537,0.136,3.44266616805624e-156
"Ccdc86",3.45696350925734e-22,-2.3778334995257,0.279,0.17,5.17783994416564e-18
"Pik3c3",2.54239955052019e-10,-2.37754919600075,0.101,0.258,3.80800604676914e-06
"Wdr92",1.81020400023054e-19,2.37732862831144,0.219,0.124,2.71132355154531e-15
"Ctc1",3.35882973455263e-35,-2.37731941307176,0.176,0.436,5.03085517641294e-31
"Dtymk",0.0952392718527713,2.377211180449,0.104,0.149,1
"Xpc",2.01543951142772e-09,-2.37675177935764,0.326,0.237,3.01872530021644e-05
"Necap1",2.59169348170227e-06,2.37660976628292,0.355,0.23,0.0388183849689366
"Dot1l",8.26891080822679e-22,-2.37650609390296,0.343,0.268,1.23851746085621e-17
"Nck2",1.90785723959117e-12,2.37648771085043,0.179,0.09,2.85758857345966e-08
"Capn12",3.94890506450411e-68,2.37638231996108,0.275,0.064,5.91467000561425e-64
"Josd2",0.000101630563543184,-2.37582449144549,0.146,0.126,1
"Gm6133",3.83887252090586e-178,-2.37575973996107,0.036,0.467,5.7498632618128e-174
"Pde4d",1.04834067151115e-22,2.37561414947914,0.284,0.134,1.5702046577894e-18
"Rnf113a1",0.000333525590803856,2.37535299802848,0.114,0.181,1
"Llgl1",2.95686159001205e-11,2.37455603865968,0.132,0.079,4.42878728952005e-07
"Rcsd1",4.33136526945037e-33,-2.37316232523615,0.241,0.523,6.48751890058276e-29
"Ppih",3.95733154903621e-90,-2.37243490183132,0.028,0.318,5.92729119414644e-86
"Prkn",0.000351828833747546,2.37157038195083,0.409,0.377,1
"Sc5d",5.63755062937477e-55,-2.37117634108364,0.111,0.388,8.44392333267752e-51
"Oma1",1.14967755731685e-05,2.37110518103113,0.281,0.228,0.172198704534917
"Sos2",1.88346356962054e-09,2.37105659657834,0.323,0.231,2.82105173457765e-05
"Ifnar2",6.96278175780551e-67,-2.37073860953922,0.128,0.516,1.04288545168411e-62
"Evi2",4.77631644558801e-192,-2.36902805371158,0.032,0.511,7.15396677220172e-188
"E2f4",0.0727836180874552,2.36854233072664,0.284,0.272,1
"Rpusd2",2.34842073210084e-22,2.36771739709093,0.297,0.132,3.51746457254063e-18
"Gng3",6.69371486099316e-92,-2.36768980867497,0.066,0.499,1.00258461187956e-87
"Neu1",9.89839722376261e-64,-2.36753211488285,0.114,0.441,1.48258193617516e-59
"Siah2",1.10281831087603e-21,-2.3674028242938,0.243,0.461,1.65180126603012e-17
"Jtb",1.01400933266254e-10,-2.36690018262855,0.139,0.327,1.51878317846196e-06
"Yipf5",1.58610681757601e-09,-2.3661461880521,0.189,0.278,2.37567079136534e-05
"Fxn",1.42606409438518e-20,2.36554657009514,0.216,0.159,2.13595880057013e-16
"St3gal3",1.92540665918506e-11,-2.36546379170089,0.354,0.452,2.88387409412738e-07
"Kpna2",3.52088458829452e-05,-2.36471240796058,0.185,0.257,0.527358093634754
"Morc3",2.95345933286586e-09,-2.36354432651946,0.192,0.386,4.42369138876648e-05
"Ubap2",8.02276447791245e-19,2.36246172336363,0.247,0.139,1.20164966350173e-14
"1700025G04Rik",6.11100101257588e-26,-2.36229736068364,0.074,0.258,9.15305731663616e-22
"Zc3h15",0.00530075408387303,-2.36156220354858,0.129,0.253,1
"Nup37",1.31856757472585e-07,-2.36146909146422,0.116,0.191,0.00197495051342438
"Gm43696",0.000492516237821789,2.36134829171207,0.237,0.191,1
"Sharpin",0.00756389448673487,-2.35984572040754,0.158,0.249,1
"Cpox",0.00734855830622816,2.35897084977819,0.156,0.199,1
"Fig4",1.60719253021578e-11,2.35744528389719,0.128,0.27,2.40725297175719e-07
"Gm13205",3.09855651118983e-26,-2.35715380259872,0.038,0.228,4.64101794246013e-22
"Klre1",0.00969791510025998,-2.35701215628075,0.372,0.349,1
"Samd15",5.24451684676154e-11,2.35664880114811,0.215,0.115,7.85523733307943e-07
"Ccni",0.00508234163094696,-2.35649024506828,0.195,0.227,1
"Cep290",7.83621318981189e-06,-2.35609751462075,0.167,0.152,0.117370801157002
"Clec16a",2.00799173891961e-14,2.35539834566444,0.302,0.186,3.00757002655378e-10
"Larp4b",0.0136168309739971,2.35485958447322,0.297,0.436,1
"Ankrd13c",9.68507463270661e-05,2.35475703165033,0.3,0.37,1
"Cdipt",7.95942774304122e-43,-2.35401261893025,0.122,0.408,1.19216308735271e-38
"Ndfip2",0.908552511900202,2.35357991510058,0.231,0.254,1
"Gemin6",0.0107859219653758,-2.35332493167553,0.283,0.259,1
"Larp4",0.0307136208858675,2.35098073564746,0.274,0.343,1
"Zfand3",0.00884493930355173,2.35037012834343,0.263,0.301,1
"1700066M21Rik",8.04859284520756e-10,2.34980609209187,0.32,0.421,1.20551823635519e-05
"Rnf185",0.000281523427460813,2.34951805626292,0.21,0.271,1
"Ndufaf8",1.71072296355126e-26,2.34939757992478,0.083,0.277,2.56232085480707e-22
"Wtap",0.00154236501579176,-2.3493735205209,0.156,0.272,1
"Tmem184b",2.30077992771099e-09,2.34919667621834,0.197,0.287,3.44610817572552e-05
"Vps72",2.91996468068642e-67,2.34899742833577,0.042,0.251,4.37352309873211e-63
"Hnrnpa3",3.73532510559656e-08,-2.34861702896769,0.315,0.495,0.000559476994316253
"Adgrg3",4.01739675895328e-12,-2.34827874634264,0.09,0.144,6.01725686556022e-08
"Gpr89",0.127265542063016,-2.34825895770799,0.385,0.289,1
"Higd1a",3.22989835677127e-17,-2.3469621941843,0.206,0.122,4.83774175877201e-13
"Ap5b1",4.43216526060669e-47,-2.34660206721756,0.244,0.557,6.6384971273367e-43
"Usp25",8.72232466530574e-18,-2.34641693284712,0.146,0.368,1.30642978836949e-13
"Retreg2",1.38131068922202e-12,-2.34582611297973,0.12,0.277,2.06892715031674e-08
"E330020D12Rik",1.32190252812595e-301,-2.34563729421361,0.019,0.641,1.97994560662705e-297
"Efcab5",2.14278143885414e-92,-2.34354291933796,0.229,0.045,3.20945803911573e-88
"Cpsf2",1.18369387228257e-12,2.34351027334689,0.142,0.324,1.77293668190484e-08
"Oaz2",8.93825617487252e-13,2.34341772949161,0.205,0.144,1.33877200987241e-08
"Man2a2",1.98236849982329e-05,-2.34318535323708,0.366,0.326,0.296919153903532
"Swi5",0.0188126265291905,-2.34235646131007,0.2,0.196,1
"Ptbp2",1.95208856657019e-08,2.34003704313439,0.359,0.245,0.000292383825500884
"Agap1",8.76916900256901e-10,-2.33967157139354,0.265,0.192,1.31344613320479e-05
"Mob1b",5.42061293548903e-14,2.33955802192418,0.279,0.231,8.11899405477547e-10
"Sp1",0.0105049835631713,2.33937205773576,0.307,0.281,1
"Sirt4",1.92222400306139e-24,2.33897196313765,0.176,0.043,2.87910711178535e-20
"Nipal4",1.72738928517865e-163,2.33846654004526,0.314,0.01,2.58728367134058e-159
"Lrfn1",0.00478798787590947,-2.33774912119924,0.079,0.221,1
"Pgm2l1",1.29518407214844e-33,-2.33748068629249,0.192,0.417,1.93992670326393e-29
"Bcl7b",4.36369139452347e-06,2.33582481031816,0.124,0.243,0.0653593697071726
"Map3k6",0.0017184285948107,2.33580367261425,0.157,0.224,1
"Yod1",1.78706287524213e-42,2.33401542469595,0.334,0.113,2.67666277453766e-38
"Faap20",9.49919626957508e-09,2.33392522254239,0.185,0.133,0.000142278961725695
"Gstcd",0.104307352673615,2.33349166445876,0.243,0.332,1
"Kcnn1",0.68380006468143,-2.33309667989465,0.233,0.27,1
"Esyt1",1.47007793937559e-08,-2.33146644765358,0.171,0.372,0.000220188273759676
"Yipf6",1.36827187631192e-06,2.3307161915314,0.171,0.175,0.0204939761634
"Gm14296",3.42561665392481e-65,2.3301610934186,0.393,0.088,5.13088862424858e-61
"Nhsl2",8.21978880304119e-11,-2.33003822046412,0.162,0.349,1.23115996691951e-06
"Gosr1",2.64856771428682e-18,2.32974320057394,0.439,0.232,3.9670247224588e-14
"Dmac2l",3.73804051802657e-11,2.32921131604671,0.336,0.215,5.59883708790019e-07
"Raf1",1.97653171920744e-30,2.32904262434999,0.496,0.278,2.9604492090289e-26
"Bzw1",9.53367129877465e-24,-2.32869685524897,0.182,0.464,1.42795328713047e-19
"Det1",2.33932209333702e-39,-2.32832383563585,0.08,0.338,3.50383663140018e-35
"Cyp2r1",2.88546150390623e-11,-2.32801745773141,0.536,0.441,4.32184424055075e-07
"Stk25",4.91587158527653e-10,2.32774469308517,0.239,0.177,7.36299246042719e-06
"Gpr108",0.000546153391262557,2.32738358327854,0.219,0.31,1
"Cbx2",4.38206764473549e-65,-2.32728575484833,0.057,0.38,6.56346091828482e-61
"Zdhhc20",0.19735091256063,2.32639804074022,0.254,0.364,1
"Zfp874b",5.51525693339195e-12,2.3254084511881,0.387,0.216,8.26075183483447e-08
"Zbtb21",5.66293219325391e-10,2.32431048490791,0.305,0.193,8.48193983905571e-06
"Serpine1",5.99739128279955e-105,2.32424382014127,0.396,0.064,8.98289266337717e-101
"Slc16a7",9.38469699523658e-43,2.32423514174599,0.448,0.223,1.40563991594653e-38
"Irf3",1.37480961446775e-48,2.3240173423938,0.435,0.184,2.0591898405498e-44
"Dhx38",9.08436094855465e-41,-2.32344445280055,0.096,0.338,1.36065558287452e-36
"Nt5c3",0.0362608105913857,-2.32328969668188,0.149,0.205,1
"B230303O12Rik",2.88852647196442e-41,-2.32316753106345,0.13,0.435,4.32643494970831e-37
"Isy1",2.60695175856753e-84,-2.32208095318515,0.132,0.484,3.90469234398245e-80
"Kif5c",0.152260332664554,-2.32150136723134,0.152,0.143,1
"Zfp263",5.95364501623291e-08,2.32135153315713,0.365,0.281,0.000891736950531365
"Nupr1l",3.59441436625711e-13,2.32126386055258,0.211,0.126,5.3837138377799e-09
"Ptpn9",1.4411800984605e-09,2.32076961587534,0.265,0.184,2.15859955147414e-05
"Gm30054",4.39381899048504e-11,2.32045031346834,0.444,0.23,6.58106208394849e-07
"Itgb1bp1",6.5186633368406e-19,2.31858442884823,0.067,0.218,9.76365394591985e-15
"Snhg9",3.02956109835572e-05,2.31825910027837,0.424,0.315,0.45376766131172
"Nr2f6",2.03779171201226e-16,2.31801051026494,0.158,0.258,3.05220442625197e-12
"Dnmt3a",0.18660230822927,2.31788109041076,0.353,0.445,1
"Msl3",1.54749751459045e-07,2.31766269599057,0.209,0.179,0.00231784177735357
"Med13l",0.00381562536443529,2.31681098242045,0.27,0.308,1
"Gm43774",4.33811439139093e-09,2.31573400971662,0.185,0.292,6.49762773542534e-05
"Tmem97",2.65867630433752e-19,-2.31501974057543,0.249,0.389,3.98216536863674e-15
"Zfp446",1.8309943575323e-196,2.31479478276973,0.544,0.076,2.74246334871188e-192
"Hsf4",4.90445664630706e-10,-2.31410567332361,0.075,0.182,7.34589516483871e-06
"Nr2c2",4.90227992957509e-10,2.31310071878939,0.362,0.268,7.34263487851757e-06
"Ppp1r8",8.21319891018116e-19,2.31243989986033,0.23,0.345,1.23017293276693e-14
"Tbl1x",2.76373337191187e-17,2.31194889922238,0.242,0.234,4.1395198444496e-13
"Pank2",0.00762367524634769,2.31173419844635,0.324,0.26,1
"Med4",0.00259026508376087,2.31118912007508,0.249,0.185,1
"Usp10",7.37365650136416e-53,2.31094292347241,0.31,0.086,1.10442627077432e-48
"Sod1",3.64901234527338e-13,-2.31080229847075,0.188,0.407,5.46549069075047e-09
"Lrp10",0.0002065772457147,2.31071213256902,0.196,0.29,1
"Cst6",0.0032161516055811,-2.3106184759315,0.069,0.104,1
"E2f3",0.211527016430552,-2.31033478527737,0.216,0.289,1
"Banp",9.63767086851518e-21,-2.31020468651768,0.246,0.132,1.4435303426862e-16
"Nim1k",1.04909268340527e-33,2.31018725163704,0.256,0.131,1.57133102120441e-29
"Mettl14",8.53860567698935e-05,2.30921483372133,0.261,0.218,1
"Fbxo11",6.56978551642532e-06,-2.3082156777869,0.225,0.304,0.0984022474650185
"1700052K11Rik",2.8489954935009e-07,-2.30784640840889,0.24,0.184,0.00426722545016564
"Cd164",0.0101902275049106,-2.30738580951719,0.221,0.377,1
"Rabep2",3.54103940835536e-11,2.30729040829339,0.225,0.35,5.30376882583466e-07
"Zfp975",0.0105915814089506,2.30702922735864,0.323,0.314,1
"Rab1a",9.02584375943912e-07,-2.30693150867708,0.185,0.369,0.0135189087828879
"Abcb10",1.49016665644225e-06,2.30693142193582,0.199,0.124,0.022319716180192
"Mzt1",1.14438373033901e-15,2.306607517177,0.149,0.285,1.71405795130177e-11
"Pfkp",2.19773429800935e-113,-2.30480204457471,0.622,0.198,3.2917664315584e-109
"Rbm8a2",4.60017552961995e-11,-2.30435203668788,0.089,0.18,6.89014290826476e-07
"Hspa1a",0.000216195667787752,-2.3042767777856,0.21,0.32,1
"Hars",1.21054971677978e-32,2.30318668287307,0.083,0.251,1.81316136579276e-28
"Atp1b3",1.19629328139477e-09,-2.30310201154438,0.232,0.451,1.79180807687308e-05
"Esf1",1.98317987019648e-12,2.30226788738959,0.237,0.181,2.97040680958029e-08
"Kri1",2.97281032448527e-22,2.30193694243561,0.419,0.261,4.45267530401404e-18
"Ero1l",5.60577108801396e-13,2.30163333302876,0.145,0.11,8.39632393562731e-09
"Pex19",0.000185841319648026,2.30122705815947,0.225,0.167,1
"Tsn",0.00613825624626095,-2.29949677847719,0.203,0.337,1
"Cbx1",0.00299058319647848,-2.29916810003629,0.179,0.248,1
"Etf1",2.03230775190462e-46,-2.29809386037284,0.135,0.484,3.04399055080274e-42
"Galnt2",2.14677323244916e-56,2.29802950222156,0.36,0.174,3.21543694756236e-52
"LTO1",0.469893021756004,2.2979075393165,0.258,0.227,1
"Fam126a",1.58203186298724e-23,-2.29663551500294,0.287,0.489,2.36956732438229e-19
"Timm10b",5.76892989796458e-24,-2.29642426725536,0.146,0.403,8.64070320117135e-20
"Nsmce1",4.19425234525039e-43,-2.29601331587686,0.078,0.282,6.28215116271603e-39
"Iws1",0.0533582281081031,-2.29550783819123,0.206,0.269,1
"Atp7a",1.70482814360119e-22,-2.29533119135893,0.176,0.379,2.55349159348586e-18
"Zbtb17",1.35787777243721e-07,2.29514951911332,0.258,0.213,0.00203382932755645
"Clip2",1.35300336922706e-05,2.29494617939304,0.185,0.261,0.202652844642829
"Dlat",2.49657895543628e-08,2.29272507119793,0.218,0.155,0.000373937595945246
"Ifngr2",5.83754900510703e-20,-2.29255273985101,0.151,0.352,8.74348089984931e-16
"Mrpl36",7.32230546474852e-13,-2.29228470150822,0.076,0.247,1.09673491251003e-08
"Tc2n",1.31554970827896e-37,2.29188968924009,0.233,0.066,1.97043035306023e-33
"Endog",7.83747758243193e-10,-2.29177325607227,0.065,0.125,1.17389739229665e-05
"Ppp1r16a",1.82664629753523e-46,2.29130332234825,0.359,0.143,2.73595082444826e-42
"Azi2",0.20313456985477,2.29120023433817,0.181,0.253,1
"Kdm6bos",0.00229901515625855,2.29107833586245,0.133,0.264,1
"Kctd17",1.21593423045978e-05,2.28882798650234,0.117,0.109,0.182122629038267
"Cep85",1.2992500820281e-10,-2.28805837924201,0.254,0.204,1.94601677286169e-06
"Ak1",8.68052714402331e-29,2.28738468079291,0.143,0.04,1.30016935563181e-24
"Ehhadh",1.96541324348008e-20,2.28675197767249,0.178,0.124,2.94379595608446e-16
"Impa1",1.52029556600222e-11,2.2845730750725,0.161,0.16,2.27709869875813e-07
"Lsm5",4.55548694331463e-67,-2.28434662572028,0.063,0.351,6.82320834369666e-63
"Herc2",4.96571763024439e-09,2.28406249999927,0.252,0.265,7.43765186658005e-05
"Zc3hc1",3.96175983504329e-61,2.28280227051336,0.107,0.364,5.93392388092785e-57
